528755766937673729,y,twitter reaction to texas techs loss to texas 34 13,http://t.co/g0AOF2JVM0,Twitter reaction to Texas Tech's loss to Texas 34-13 http://t.co/g0AOF2JVM0
528748760424148993,y,texas tech p taylor symmank who was recently named to the ray guy award watch list avgd 41 0 yds on 8 punts vs ut,http://t.co/vxDpsoF4Fp,"Texas Tech P Taylor Symmank, who was recently named to the Ray Guy Award Watch List, avgd 41.0 yds on 8 punts vs UT http://t.co/vxDpsoF4Fp"
528748169652211712,y,texas tech falls to texas 34 13,http://t.co/Jk39h0TOhL,"Texas Tech falls to Texas, 34-13: http://t.co/Jk39h0TOhL http://t.co/JWF1TgnFlH"
528731779910205440,y,tech fans optimistic as red raiders trail behind longhorns,http://t.co/oD08xgBVar,Tech fans optimistic as Red Raiders trail behind Longhorns http://t.co/oD08xgBVar http://t.co/qvB3kOrjdR
528704306677968897,n,twitter reaction to texas techs lone star pride uniforms,http://t.co/HledEFwHQn,Twitter reaction to Texas Tech's Lone Star Pride uniforms http://t.co/HledEFwHQn
528682199625654272,y,patrick mahomes will start for texas tech against texas read daniel paullings free story on wreckem247 updated,http://t.co/fWPTvIHj9i,"Patrick Mahomes will start for Texas Tech against Texas, read Daniel Paulling's free story on wreckem247 updated ... http://t.co/fWPTvIHj9i"
528679838966509568,y,breaking patrick mahomes to start tonight against texas webb out with left ankle injury,http://t.co/4tJfpxiotw,BREAKING: Patrick Mahomes to start tonight against Texas. Webb out with left ankle injury: http://t.co/4tJfpxiotw
528543909941501952,y,texas at tech see all our pregame coverage on game day page,http://t.co/IAZA5yZ9Fd,Texas at Tech: See all our pregame coverage on Game Day page ... http://t.co/IAZA5yZ9Fd
528539447743102976,y,some big games last night that helped sort out the postseason so far catch up at,http://t.co/xVIPxiohXi,Some big games last night that helped sort out the postseason ... so far ... catch up at http://t.co/xVIPxiohXi
528388808123760641,n,halloween in lubbock police looking for guy in panda suit,http://t.co/6IskXNzwjd,Halloween in Lubbock ... police looking for guy in panda suit ... http://t.co/6IskXNzwjd
528384407254495232,n,rt sarahrafique cracking up at my desk did anyone else hear this on the lubbock police scanner halloween http,http://t.co/Y40HhqlFnC,RT @sarahrafique: Cracking up at my desk. Did anyone else hear this on the Lubbock police scanner?? http://t.co/Y40HhqlFnC #Halloween http:…
528357087722500098,n,longhorn gear sells in lubbock but some tech loyal stores refuse to carry ut merchandise,http://t.co/0fJtJJd3Wo,"Longhorn gear sells in Lubbock, but some Tech-loyal stores refuse to carry UT merchandise: http://t.co/0fJtJJd3Wo http://t.co/AciqvhAWtJ"
528356377370951680,n,anyone have red raider themed costumes pumpkins this year here s one from earlier this month,http://t.co/rQ5131O4Jq,Anyone have Red Raider-themed costumes/pumpkins this year? Here’s one from earlier this month.http://t.co/rQ5131O4Jq http://t.co/MTwjnJXfGU
528345918215426051,y,coronado at frenship follow bryan navarettes exclusive game tracker coverage on,http://t.co/XBFhUQEO7u,Coronado at Frenship ... follow Bryan Navarette's exclusive Game Tracker coverage on http://t.co/XBFhUQEO7u ... http://t.co/4A42ZmAi4T
528345636194643968,y,shallowater at brownfield follow krista pirtles exclusive game tracker coverage on,http://t.co/XBFhUQEO7u,Shallowater at Brownfield ... follow Krista Pirtle's exclusive Game Tracker coverage on http://t.co/XBFhUQEO7u ... http://t.co/Fd2nin6g7D
528336589957521408,y,getting close to kick off in lubbock and south plains keep up on all the scores on lonestarvarsity scoreboard,http://t.co/y9S5yV36mX,"Getting close to kick off in Lubbock and South Plains, keep up on all the scores on lonestarvarsity scoreboard ... http://t.co/y9S5yV36mX"
528327239180365824,y,heres why three star safety justin reid is an important visitor for texas tech on a major recruiting weekend,http://t.co/EywBUiMfYF,Here's why three-star safety Justin Reid is an important visitor for Texas Tech on a major recruiting weekend: http://t.co/EywBUiMfYF
528326208535007234,n,the west table brings flavor revitalization to downtown lubbock and it opened yesterday,http://t.co/Dt35PWVWc9,"The West Table brings flavor, revitalization to downtown Lubbock -- and it opened yesterday: http://t.co/Dt35PWVWc9 http://t.co/MLSgCnFMca"
528319921625653248,y,what are your thoughts on the tech texas rivalry,http://t.co/WBSZZALbZb,What are your thoughts on the Tech-Texas rivalry? http://t.co/WBSZZALbZb http://t.co/f6m2CpqiPd
528312355529031682,y,texastechmbb kicks off the season in three days at home against se oklahoma state at 7 p m,http://t.co/LsLEGRNHU3,.@TexasTechMBB kicks off the season in three days at home against SE Oklahoma State at 7 p.m. http://t.co/LsLEGRNHU3
528301737279381504,n,tech gets it right with the lone star pride uniforms but here are 20 really ugly ones,http://t.co/ZNuKtctq7O,"Tech gets it right with the ""Lone Star Pride"" uniforms. But, here are 20 really ugly ones   http://t.co/ZNuKtctq7O http://t.co/3eGFmutbcM"
528301129177006080,n,rt sarahrafique sneak peek comparison of lubbock county early voting totals earlyvoting election politics http,http://t.co/3AsddKKEL5,RT @sarahrafique: Sneak peek: Comparison of Lubbock County early voting totals http://t.co/3AsddKKEL5 #EarlyVoting #Election #politics http…
528300820526559232,n,rt ayoungreporter zesty news releases this week have wendydavistexas in with cattle rustlers gregabbott_tx amp ted nugent as besties h,http://t.co/0qLiWlAhay,"RT @AYoungReporter: Zesty news releases this week have @WendyDavisTexas in with cattle rustlers,  @GregAbbott_TX &amp; Ted Nugent as #besties h…"
528271498986147840,n,3 south plains men sentenced to federal prison on child porn charges,http://t.co/wm7te1Pqw8,3 South Plains men sentenced to federal prison on child porn charges http://t.co/wm7te1Pqw8
528268445369241600,n,wendy davis slams greg abbott for ted nugent connection,http://t.co/dJymeoqG8k,Wendy Davis slams Greg Abbott for Ted Nugent connection  http://t.co/dJymeoqG8k
528266239437971456,n,2 adult human skulls found in trash in connecticut,http://t.co/yuSIIRO0C6,2 adult human skulls found in trash in Connecticut: http://t.co/yuSIIRO0C6 http://t.co/x9UBPwup39
528264740477210624,n,updated witness space tourism rocket explodes in desert,http://t.co/TMk4WXRV5l,UPDATED: Witness: Space tourism rocket explodes in desert: http://t.co/TMk4WXRV5l http://t.co/SiBGeYbwCo
528261073233661953,n,updated virgin galactic says space tourism rocket lost,http://t.co/v1WupzzNGM,UPDATED: Virgin Galactic says space tourism rocket lost: http://t.co/v1WupzzNGM
528257239274901505,n,breaking virgin galactic says spaceshiptwo space tourism rocket has been lost status of pilots unclear,http://t.co/wGcPvRLyjU,#BREAKING: Virgin Galactic says SpaceShipTwo space tourism rocket has been lost; status of pilots unclear: http://t.co/wGcPvRLyjU
528226037532872704,y,congrats to lorenzos sarah quintana amp dimanique granados on qualifying for state meet aj_shannonw,,Congrats to Lorenzo's Sarah Quintana &amp; Dimanique Granados on qualifying for State meet. @AJ_ShannonW http://t.co/ZXSC15WDBI
528224951577219072,y,crosbyton and bobby childers 2nd place won a regional team tile today in lubbock photo by aj_shannonw,,Crosbyton and Bobby Childers(2nd place) won a Regional team tile today in Lubbock. Photo by @AJ_ShannonW http://t.co/iCcnd3sAsI
528223559919734784,y,congrats to sundown and andrea sanchez on regional title today in lubbock photo by aj_shannonw,,Congrats to Sundown and Andrea Sanchez on Regional Title today in Lubbock. Photo by @AJ_ShannonW http://t.co/wcf1kV6BtP
528220867290234880,n,is lubbock no longer the no 2 most conservative city in the country,http://t.co/mpQKbttv7f,Is Lubbock no longer the No. 2 most conservative city in the country? http://t.co/mpQKbttv7f
528168805415931904,n,day 4 evidence of blood bullets knives presented in dixon murder for hire trial,http://t.co/SxHD04Dub2,"Day 4: Evidence of blood, bullets, knives presented in Dixon murder-for-hire trial ... http://t.co/SxHD04Dub2"
528163267672150016,n,check out all the events open to you and your family on halloween,http://t.co/ZLmZutcCTS,Check out all the events open to you and your family on Halloween ... http://t.co/ZLmZutcCTS
