531609805756985345,y,icymi trinity christian wins tapps 4a state volleyball title,http://t.co/vVLuhqOepH,ICYMI: Trinity Christian wins TAPPS 4A state volleyball title   http://t.co/vVLuhqOepH
531609614198910977,y,icymi sanchez leads sundown to cross country title and mccutchen wins 4a title,http://t.co/qv11b4rpRC,ICYMI: Sanchez leads Sundown to cross country title and McCutchen wins 4A title http://t.co/qv11b4rpRC http://t.co/aK0cBE1yIm
531609004229672960,y,this weeks q amp a denver city qb saul gutierrez,http://t.co/2pbaNdFQNw,This week's http://t.co/2pbaNdFQNw Q &amp; A: Denver City QB Saul Gutierrez http://t.co/vIOCIytXff
531599972068630528,y,which recruits are making visits for techs game against ou on saturday,http://t.co/NJMo1DJWuW,Which recruits are making visits for Tech's game against OU on Saturday? http://t.co/NJMo1DJWuW
531595630477848576,n,lubbock man arrested for animal cruelty denies charges,http://t.co/VRM0iOQIDa,Lubbock man arrested for animal cruelty denies charges http://t.co/VRM0iOQIDa
531558113212502016,y,how techs 2015 commits fared and what their teams playoff status is,http://t.co/0iI4VtbA4B,How Tech's 2015 commits fared and what their teams' playoff status is: http://t.co/0iI4VtbA4B
531535957963448321,y,free three star wide receiver quan shorts commits to texas tech,http://t.co/uQ68NtcF4e,FREE | Three-star wide receiver Quan Shorts commits to Texas Tech: http://t.co/uQ68NtcF4e
531213341977366528,y,dont miss out get the texas tech mens and womens basketball preview special section in todays lubbock avalanche journal,,DON'T MISS OUT! Get the Texas Tech men's and women's basketball preview special section in TODAY's Lubbock Avalanche-Journal.
531204268972204033,n,pedestrian dead after chasing dog onto lubbock street,http://t.co/P82pWFCDrq,Pedestrian dead after chasing dog onto Lubbock street http://t.co/P82pWFCDrq http://t.co/K8znaJTGqO
531181904909697024,y,get the texas tech mens and womens basketball preview special section in saturdays lubbock avalanche journal,,Get the Texas Tech men's and women's basketball preview special section in Saturday's Lubbock Avalanche-Journal. http://t.co/f0ql0Ge0Pb
531178323544514561,y,texas tech has made two new offers learn about them here and,http://t.co/5hCvEsaohP,Texas Tech has made two new offers. Learn about them here: http://t.co/5hCvEsaohP and http://t.co/lnS6NfZoHf
531175172305199104,y,tech assistant kevin curtis spent friday with four star ath randy davis see what davis thought 247 subscription,http://t.co/WUQi78RFdI,Tech assistant Kevin Curtis spent Friday with four-star ATH Randy Davis. See what Davis thought (247 subscription): http://t.co/WUQi78RFdI
531135349225832448,y,get the texas tech mens and womens basketball preview special section in saturdays lubbock avalanche journal,,Get the Texas Tech men's and women's basketball preview special section in Saturday's Lubbock Avalanche-Journal. http://t.co/VkMsvgicwy
531110370786934784,y,get the texas tech mens and womens basketball preview special section in saturdays lubbock avalanche journal,,Get the Texas Tech men's and women's basketball preview special section in Saturday's Lubbock Avalanche-Journal. http://t.co/EXouSoR6N5
